Equity;A;T-t;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11963,17;130,25;10,00;13065,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12961,50;159,37;9,75;13599,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14091,51;207,33;9,50;13640,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14213,30;193,24;9,25;14614,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13622,64;172,18;9,00;14681,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12994,10;142,77;8,75;14995,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12568,16;135,24;8,50;14886,89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12499,83;136,37;8,25;14641,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12358,34;163,92;8,00;13437,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11738,58;144,95;7,75;13330,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11358,42;138,23;7,50;13091,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10985,32;115,74;7,25;12555,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10167,66;159,77;7,00;11634,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9589,15;95,92;6,75;11608,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8467,98;113,67;6,50;11108,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7840,75;67,03;6,25;11654,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7728,21;67,46;6,00;11132,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7478,86;58,01;5,75;11345,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7299,69;60,75;5,50;10265,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6918,00;55,01;5,25;10351,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7215,17;69,60;5,00;9965,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6117,23;74,73;4,75;8009,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6061,65;102,90;4,50;8055,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5976,13;109,88;4,25;8311,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6039,98;98,81;4,00;8601,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;